55	Vidal	1	688	False	1	INSERT INTO Apellidos Values (55,'Vidal',1,688,False,1)	";"
56	León	1	686	False	1	INSERT INTO Apellidos Values (56,'León',1,686,False,1)	";"
57	Márquez	1	686	False	1	INSERT INTO Apellidos Values (57,'Márquez',1,686,False,1)	";"
58	Herrera	1	685	False	1	INSERT INTO Apellidos Values (58,'Herrera',1,685,False,1)	";"
59	Peña	1	683	False	1	INSERT INTO Apellidos Values (59,'Peña',1,683,False,1)	";"
60	Flores	1	679	False	1	INSERT INTO Apellidos Values (60,'Flores',1,679,False,1)	";"
61	Cabrera	1	676	False	1	INSERT INTO Apellidos Values (61,'Cabrera',1,676,False,1)	";"
62	Campos	1	658	False	1	INSERT INTO Apellidos Values (62,'Campos',1,658,False,1)	";"
63	Vega	1	644	False	1	INSERT INTO Apellidos Values (63,'Vega',1,644,False,1)	";"
64	Fuentes	1	639	False	1	INSERT INTO Apellidos Values (64,'Fuentes',1,639,False,1)	";"
65	Carrasco	1	632	False	1	INSERT INTO Apellidos Values (65,'Carrasco',1,632,False,1)	";"
66	Díez	1	631	False	1	INSERT INTO Apellidos Values (66,'Díez',1,631,False,1)	";"
67	Caballero	1	606	False	1	INSERT INTO Apellidos Values (67,'Caballero',1,606,False,1)	";"
68	Reyes	1	603	False	1	INSERT INTO Apellidos Values (68,'Reyes',1,603,False,1)	";"
69	Nieto	1	602	False	1	INSERT INTO Apellidos Values (69,'Nieto',1,602,False,1)	";"
70	Aguilar	1	590	False	1	INSERT INTO Apellidos Values (70,'Aguilar',1,590,False,1)	";"
71	Pascual	1	581	False	1	INSERT INTO Apellidos Values (71,'Pascual',1,581,False,1)	";"
72	Santana	1	578	False	1	INSERT INTO Apellidos Values (72,'Santana',1,578,False,1)	";"
73	Herrero	1	578	False	1	INSERT INTO Apellidos Values (73,'Herrero',1,578,False,1)	";"
74	Lorenzo	1	564	False	1	INSERT INTO Apellidos Values (74,'Lorenzo',1,564,False,1)	";"
75	Montero	1	563	False	1	INSERT INTO Apellidos Values (75,'Montero',1,563,False,1)	";"
76	Hidalgo	1	562	False	1	INSERT INTO Apellidos Values (76,'Hidalgo',1,562,False,1)	";"
77	Giménez	1	558	False	1	INSERT INTO Apellidos Values (77,'Giménez',1,558,False,1)	";"
78	Ibáñez	1	552	False	1	INSERT INTO Apellidos Values (78,'Ibáñez',1,552,False,1)	";"
79	Ferrer	1	545	False	1	INSERT INTO Apellidos Values (79,'Ferrer',1,545,False,1)	";"
80	Durán	1	538	False	1	INSERT INTO Apellidos Values (80,'Durán',1,538,False,1)	";"
81	Santiago	1	534	False	1	INSERT INTO Apellidos Values (81,'Santiago',1,534,False,1)	";"
82	Benítez	1	526	False	1	INSERT INTO Apellidos Values (82,'Benítez',1,526,False,1)	";"
83	Mora	1	524	False	1	INSERT INTO Apellidos Values (83,'Mora',1,524,False,1)	";"
84	Vicente	1	524	False	1	INSERT INTO Apellidos Values (84,'Vicente',1,524,False,1)	";"
85	Vargas	1	522	False	1	INSERT INTO Apellidos Values (85,'Vargas',1,522,False,1)	";"
86	Arias	1	519	False	1	INSERT INTO Apellidos Values (86,'Arias',1,519,False,1)	";"
87	Carmona	1	516	False	1	INSERT INTO Apellidos Values (87,'Carmona',1,516,False,1)	";"
88	Crespo	1	498	False	1	INSERT INTO Apellidos Values (88,'Crespo',1,498,False,1)	";"
89	Román	1	483	False	1	INSERT INTO Apellidos Values (89,'Román',1,483,False,1)	";"
90	Pastor	1	481	False	1	INSERT INTO Apellidos Values (90,'Pastor',1,481,False,1)	";"
91	Soto	1	477	False	1	INSERT INTO Apellidos Values (91,'Soto',1,477,False,1)	";"
